k,min,max,obs,pos
4,-0.5657049317142087,-0.5569952731643989,sz,0
4,-0.7460667671741165,-0.7185921489128407,sz,1
4,-0.7581394335029189,-0.7235005882698691,sz,2
4,-0.7939752366957795,-0.7615308247887179,sz,3
4,-0.8524180346414489,-0.8196875908597655,sz,4
4,-0.768819004164229,-0.7366757443226722,sz,5
4,-0.7751702064689049,-0.7396936954844422,sz,6
4,-0.7782035529727411,-0.7455168642021149,sz,7
4,-0.8081361035294448,-0.7860181627828401,sz,8
4,-0.6434026291198065,-0.6366365864708473,sz,9
5,-0.5613173301351699,-0.5604702686913854,sz,0
5,-0.7324393408320418,-0.7290203839093319,sz,1
5,-0.7424017275926933,-0.7339931312248188,sz,2
5,-0.7807691704632072,-0.7712695586103113,sz,3
5,-0.839429970654096,-0.8295769999742337,sz,4
5,-0.7555785197295635,-0.746436368248221,sz,5
5,-0.7596611761065581,-0.7504841038396939,sz,6
5,-0.763126886586,-0.7548283738924837,sz,7
5,-0.797276791978953,-0.7939509796027696,sz,8
5,-0.6400484497956689,-0.6392625565825216,sz,9
6,-0.5608750697536308,-0.5607644583961383,sz,0
6,-0.7308569111467053,-0.7304400215033664,sz,1
6,-0.7381971243938159,-0.736453562689436,sz,2
6,-0.7762657665229931,-0.7735011149456145,sz,3
6,-0.8349290061488455,-0.832008525199621,sz,4
6,-0.75115318033855,-0.7484427103655207,sz,5
6,-0.7550511249072085,-0.7526618860902952,sz,6
6,-0.7588838945728719,-0.7572633456934402,sz,7
6,-0.7956856390098566,-0.7952901170117966,sz,8
6,-0.6396278285059417,-0.6395427475632725,sz,9
