g,minz,maxz
0.01,-0.9999883213971584,-0.9999884619026003
0.4,-0.980516770360714,-0.9804881167143622
0.8,-0.9123515131243215,-0.9116366981998872
1.0,-0.8484588098898055,-0.8431975839313054
1.1,-0.8048169473547817,-0.7925553489824834
1.15,-0.7793571354831716,-0.7628611648233892
1.2,-0.7512420214969607,-0.7283525326482937
1.25,-0.7205922662987105,-0.6896649190311991
1.3,-0.6867338261262192,-0.6470877659517796
1.35,-0.6511009737094746,-0.6011293989567243
1.4,-0.6138151778365208,-0.5527986434941516
1.45,-0.5753125479846518,-0.5034340914671755
1.5,-0.5375711858942245,-0.4523009815391966
1.6,-0.46338672584362106,-0.35587782583166927
1.8,-0.34113398262319183,-0.22151547856554782
2.0,-0.25507339073860913,-0.15286980490516783
2.4,-0.15605070439319257,-0.087375337428233
2.8,-0.10547295752424152,-0.057478310368159424
3.2,-0.07611177985880041,-0.041358264477725504
3.6,-0.057435743408059126,-0.03166341669125461
4.0,-0.044808748149510746,-0.02531783624776318
5.0,-0.026705422978313798,-0.016271086259798728
6.0,-0.017648458141900303,-0.011527076421835591
8.0,-0.009320032852839943,-0.006736601001747555
10.0,-0.005751137644173676,-0.004424643943391315
